State,Metro,City,Zipcode
ND,"Fargo, ND-MN",West Fargo,58078
TX,"Kerrville, TX",Kerrville,78028
MA,"Boston-Cambridge-Newton, MA-NH",Cambridge,2138
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Sandy Springs,30328
TX,"Dallas-Fort Worth-Arlington, TX",Keller,76248
MI,"Grand Rapids-Kentwood, MI",Rockford,49341
IN,"Kokomo, IN",Kokomo,46901
AZ,"Tucson, AZ",Tucson,85730
NC,"Greensboro-High Point, NC",Reidsville,27320
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10026
MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Gaithersburg,20877
TN,"Memphis, TN-MS-AR",Memphis,38018
RI,"Providence-Warwick, RI-MA",Providence,2908
CA,"Oxnard-Thousand Oaks-Ventura, CA",Camarillo,93012
CA,"Los Angeles-Long Beach-Anaheim, CA",Torrance,90505
TX,"Dallas-Fort Worth-Arlington, TX",McKinney,75069
AZ,"Phoenix-Mesa-Chandler, AZ",Avondale,85392
CA,"Bakersfield, CA",La Cresta - Altavista,93305
MA,"Worcester, MA-CT",Shrewsbury,1545
NY,"New York-Newark-Jersey City, NY-NJ-PA",East Meadow,11554
VA,"Roanoke, VA",Salem,24153
CA,"San Diego-Chula Vista-Carlsbad, CA",Oceanside,92054
OH,"Cincinnati, OH-KY-IN",Cincinnati,45211
CA,"Riverside-San Bernardino-Ontario, CA",Fontana,92337
LA,"New Orleans-Metairie, LA",Slidell,70458
SC,"Greenville-Anderson, SC",Greer,29650
NC,"Charlotte-Concord-Gastonia, NC-SC",Statesville,28625
CA,"Santa Rosa-Petaluma, CA",Santa Rosa,95401
CA,"Sacramento-Roseville-Folsom, CA",Arden-Arcade,95821
AZ,"Phoenix-Mesa-Chandler, AZ",Gilbert,85233
CO,"Colorado Springs, CO",Colorado Springs,80916
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Evanston,60201
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11418
GA,"Gainesville, GA",Flowery Branch,30542
ID,"Boise City, ID",Caldwell,83605
IN,"Chicago-Naperville-Elgin, IL-IN-WI",Portage,46368
KY,"Lexington-Fayette, KY",Lexington,40517
CA,"Yuba City, CA",Yuba City,95993
TN,"Memphis, TN-MS-AR",Memphis,38115
TX,"Dallas-Fort Worth-Arlington, TX",Garland,75042
PA,"Allentown-Bethlehem-Easton, PA-NJ",Bethlehem,18017
NC,"Charlotte-Concord-Gastonia, NC-SC",Gastonia,28056
CA,"Los Angeles-Long Beach-Anaheim, CA",Long Beach,90804
CO,"Colorado Springs, CO",Colorado Springs,80909
NM,"Las Cruces, NM",Las Cruces,88001
LA,"Shreveport-Bossier City, LA",Bossier City,71111
FL,"Jacksonville, FL",Orange Park,32065
FL,"Tampa-St. Petersburg-Clearwater, FL",Tampa,33613
IL,"Champaign-Urbana, IL",Champaign,61820
NC,"Raleigh-Cary, NC",Raleigh,27612
PA,"Reading, PA",Reading,19606
AL,"Daphne-Fairhope-Foley, AL",Fairhope,36532
MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Silver Spring,20901
CO,"Denver-Aurora-Lakewood, CO",Westminster,80003
AZ,"Phoenix-Mesa-Chandler, AZ",Glendale,85303
FL,"Jacksonville, FL",Fernandina Beach,32034
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90012
TX,"San Antonio-New Braunfels, TX",San Antonio,78218
TX,"Dallas-Fort Worth-Arlington, TX",Dallas,75206
CO,"Denver-Aurora-Lakewood, CO",Westminster,80031
MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Cottage Grove,55016
MT,"Bozeman, MT",Bozeman,59715
OH,"Akron, OH",Stow,44224
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Buffalo Grove,60089
CA,"Modesto, CA",Turlock,95382
UT,"Salt Lake City, UT",South Jordan,84095
AR,"Paragould, AR",Paragould,72450
CA,"Los Angeles-Long Beach-Anaheim, CA",Coto de Caza,92679
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90036
CA,"Fresno, CA",Fresno,93705
WI,"Oshkosh-Neenah, WI",Oshkosh,54901
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10035
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Media,19063
NH,"Manchester-Nashua, NH",Manchester,3103
CA,"San Francisco-Oakland-Berkeley, CA",Oakland,94606
VA,"Staunton, VA",Staunton,24401
PA,"Harrisburg-Carlisle, PA",Camp Hill,17011
WV,"Morgantown, WV",Morgantown,26505
IN,"Indianapolis-Carmel-Anderson, IN",Indianapolis,46222
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Neptune Township,7753
MD,"Salisbury, MD-DE",Salisbury,21804
CO,"Denver-Aurora-Lakewood, CO",Denver,80249
TN,"Kingsport-Bristol, TN-VA",Bristol,37620
CA,"Hanford-Corcoran, CA",Lemoore,93245
CO,"Denver-Aurora-Lakewood, CO",Aurora,80017
CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,92037
OH,"Cleveland-Elyria, OH",Parma,44134
AL,"Tuscaloosa, AL",Tuscaloosa,35401
WI,"Green Bay, WI",Howard,54313
CT,"Bridgeport-Stamford-Norwalk, CT",Trumbull,6611
NY,"New York-Newark-Jersey City, NY-NJ-PA",Mount Vernon,10550
MO,"Kansas City, MO-KS",Liberty,64068
CA,"San Diego-Chula Vista-Carlsbad, CA",Ramona,92065
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami Gardens,33056
TX,"Houston-The Woodlands-Sugar Land, TX",Missouri City,77489
MD,"Baltimore-Columbia-Towson, MD",Elkridge,21075
TX,"Austin-Round Rock-Georgetown, TX",Georgetown,78626
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Sandy Springs,30350
NY,"Watertown-Fort Drum, NY",Watertown,13601
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89128
MI,"Grand Rapids-Kentwood, MI",Grand Rapids,49507
OR,"Albany-Lebanon, OR",Albany,97322
SC,"Spartanburg, SC",Spartanburg,29301
CA,"Los Angeles-Long Beach-Anaheim, CA",Fullerton,92831
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Dunwoody,30338
MO,"St. Louis, MO-IL",Ballwin,63011
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami Beach,33139
MI,"Detroit-Warren-Dearborn, MI",South Lyon,48178
NY,"New York-Newark-Jersey City, NY-NJ-PA",North Bellmore,11710
WI,"Madison, WI",Madison,53703
TX,"Laredo, TX",Laredo,78040
AZ,"Phoenix-Mesa-Chandler, AZ",Glendale,85302
MA,"Boston-Cambridge-Newton, MA-NH",Lowell,1852
KY,"Louisville/Jefferson County, KY-IN",Louisville,40272
CT,"New Haven-Milford, CT",New Haven,6513
CO,"Denver-Aurora-Lakewood, CO",Columbine,80128
SC,"Charleston-North Charleston, SC",Summerville,29486
MO,"Joplin, MO",Joplin,64801
WY,"Cheyenne, WY",Cheyenne,82001
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90031
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Lorton,22079
WA,"Seattle-Tacoma-Bellevue, WA",Seattle,98117
MD,"Baltimore-Columbia-Towson, MD",Pikesville,21208
IL,"Davenport-Moline-Rock Island, IA-IL",Rock Island,61201
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19115
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Chantilly,20152
KY,"Louisville/Jefferson County, KY-IN",Shepherdsville,40165
NM,"Alamogordo, NM",Alamogordo,88310
CA,"Oxnard-Thousand Oaks-Ventura, CA",Thousand Oaks,91362
IA,"Omaha-Council Bluffs, NE-IA",Council Bluffs,51503
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19136
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Stone Mountain,30087
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77087
NC,"New Bern, NC",Trent Woods,28562
LA,"Alexandria, LA",Pineville,71360
NC,"Raleigh-Cary, NC",Morrisville,27560
CA,"Los Angeles-Long Beach-Anaheim, CA",Claremont,91711
FL,"Tampa-St. Petersburg-Clearwater, FL",Dunedin,34698
OR,"Portland-Vancouver-Hillsboro, OR-WA",Milwaukie,97222
AL,"Mobile, AL",Mobile,36608
NC,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,28226
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19128
NE,"Omaha-Council Bluffs, NE-IA",Omaha,68104
CA,"Fresno, CA",Sanger,93657
WA,"Portland-Vancouver-Hillsboro, OR-WA",Vancouver,98662
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Villa Rica,30180
DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Wilmington,19805
AZ,"Phoenix-Mesa-Chandler, AZ",Mesa,85203
TX,"El Paso, TX",El Paso,79915
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10309
CA,"Vallejo, CA",Vallejo,94590
NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Blackwood,8012
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77009
CA,"San Francisco-Oakland-Berkeley, CA",Redwood City,94061
CA,"Los Angeles-Long Beach-Anaheim, CA",Huntington Beach,92649
PA,"Pittsburgh, PA",New Kensington,15068
SC,"Columbia, SC",Irmo,29063
DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Wilmington,19808
OH,"Toledo, OH",Bowling Green,43402
KY,"Bowling Green, KY",Bowling Green,42104
VA,"Richmond, VA",Mechanicsville,23111
CA,"Vallejo, CA",Fairfield,94534
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Gainesville,20155
TX,"Dallas-Fort Worth-Arlington, TX",Fort Worth,76040
TN,"Memphis, TN-MS-AR",Memphis,38118
CA,"Riverside-San Bernardino-Ontario, CA",La Quinta,92253
SC,"Greenville-Anderson, SC",Greenville,29605
TX,"Houston-The Woodlands-Sugar Land, TX",Dayton,77535
SC,"Sumter, SC",Sumter,29150
TX,"Dallas-Fort Worth-Arlington, TX",Dallas,75224
CT,"Norwich-New London, CT",Norwich,6360
KY,"Lexington-Fayette, KY",Lexington,40515
AL,"Birmingham-Hoover, AL",Hoover,35226
FL,"Pensacola-Ferry Pass-Brent, FL",Pace,32571
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19135
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Newark,7103
CA,"Sacramento-Roseville-Folsom, CA",Placerville,95667
IL,"Chicago-Naperville-Elgin, IL-IN-WI",West Chicago,60185
GA,"Valdosta, GA",Valdosta,31602
WA,"Shelton, WA",Shelton,98584
MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Laurel,20707
CA,"Riverside-San Bernardino-Ontario, CA",Riverside,92508
MI,"Detroit-Warren-Dearborn, MI",Livonia,48154
CO,"Denver-Aurora-Lakewood, CO",Centennial,80112
TX,"Houston-The Woodlands-Sugar Land, TX",Spring,77382
CA,"Los Angeles-Long Beach-Anaheim, CA",San Clemente,92672
VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Chesapeake,23321
FL,"Jacksonville, FL",Jacksonville,32207
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami,33183
TX,"Houston-The Woodlands-Sugar Land, TX",Pasadena,77506
AZ,"Flagstaff, AZ",Flagstaff,86001
MA,"Boston-Cambridge-Newton, MA-NH",Framingham,1702
MI,"Grand Rapids-Kentwood, MI",Grand Rapids,49503
IN,"Indianapolis-Carmel-Anderson, IN",Indianapolis,46219
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Peachtree City,30269
IA,"Des Moines-West Des Moines, IA",Ankeny,50023
MD,"Baltimore-Columbia-Towson, MD",Odenton,21113
NC,"Burlington, NC",,27217
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89141
MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Richfield,55423
WI,"Milwaukee-Waukesha, WI",Milwaukee,53204
KY,"Louisville/Jefferson County, KY-IN",Louisville,40219
TX,"Dallas-Fort Worth-Arlington, TX",Highland Village,75077
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax,22033
FL,"Pensacola-Ferry Pass-Brent, FL",Pensacola,32506
NV,"Reno, NV",Reno,89523
TX,"Houston-The Woodlands-Sugar Land, TX",Conroe,77304
CA,"Riverside-San Bernardino-Ontario, CA",San Jacinto,92583
CA,"Los Angeles-Long Beach-Anaheim, CA",Garden Grove,92841
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Naperville,60565
NY,"Rochester, NY",Rochester,14624
NJ,"Trenton-Princeton, NJ",Trenton,8618
TX,"Houston-The Woodlands-Sugar Land, TX",Spring,77381
CO,"Colorado Springs, CO",Colorado Springs,80906
WI,"Milwaukee-Waukesha, WI",Milwaukee,53207
OR,"Eugene-Springfield, OR",Springfield,97477
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60624
RI,"Providence-Warwick, RI-MA",Cranston,2920
TX,"San Antonio-New Braunfels, TX",San Antonio,78232
CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,92131
CO,"Denver-Aurora-Lakewood, CO",Denver,80211
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Toms River,8759
TX,"Corpus Christi, TX",Corpus Christi,78413
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Falls Church,22042
MO,"Jefferson City, MO",Jefferson City,65109
CO,"Denver-Aurora-Lakewood, CO",Denver,80220
OH,"Columbus, OH",Whitehall,43213
MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Farmington,55024
CO,"Boulder, CO",Longmont,80503
CO,"Denver-Aurora-Lakewood, CO",Thornton,80602
WI,"Milwaukee-Waukesha, WI",Franklin,53132
FL,"Tampa-St. Petersburg-Clearwater, FL",Valrico,33594
CA,"Sacramento-Roseville-Folsom, CA",Sacramento,95820
PA,"York-Hanover, PA",York,17402
MI,"Niles, MI",Niles,49120
TX,"Houston-The Woodlands-Sugar Land, TX",Angleton,77515
AZ,"Phoenix-Mesa-Chandler, AZ",Litchfield Park,85340
FL,"Orlando-Kissimmee-Sanford, FL",Casselberry,32707
MS,"Memphis, TN-MS-AR",Southaven,38671
CA,"San Francisco-Oakland-Berkeley, CA",San Francisco,94124
UT,"Provo-Orem, UT",Provo,84606
FL,"Lakeland-Winter Haven, FL",Winter Haven,33881
CA,"San Diego-Chula Vista-Carlsbad, CA",Vista,92083
CA,"Los Angeles-Long Beach-Anaheim, CA",Pasadena,91104
TX,"Dallas-Fort Worth-Arlington, TX",Dallas,75248
MO,"St. Louis, MO-IL",Overland,63114
MO,"Joplin, MO",Joplin,64804
VA,"Richmond, VA",Henrico,23231
SD,"Sioux Falls, SD",Sioux Falls,57103
MI,"Detroit-Warren-Dearborn, MI",Redford,48239
TX,"McAllen-Edinburg-Mission, TX",Edinburg,78539
MO,"Cape Girardeau, MO-IL",Cape Girardeau,63701
CA,"Santa Rosa-Petaluma, CA",Petaluma,94952
TX,"Dallas-Fort Worth-Arlington, TX",Arlington,76001
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11101
IN,"Fort Wayne, IN",Fort Wayne,46835
AL,"Dothan, AL",Dothan,36301
MD,"Baltimore-Columbia-Towson, MD",Sykesville,21784
WI,"Milwaukee-Waukesha, WI",Oconomowoc,53066
TX,"Odessa, TX",Odessa,79763
CA,"Los Angeles-Long Beach-Anaheim, CA",Redondo Beach,90277
UT,"Salt Lake City, UT",South Jordan,84009
CT,"New Haven-Milford, CT",Meriden,6450
LA,"Baton Rouge, LA",Baton Rouge,70817
VA,"Roanoke, VA",Roanoke,24018
NC,"Wilmington, NC",Wilmington,28411
MN,"St. Cloud, MN",Saint Cloud,56301
CO,"Denver-Aurora-Lakewood, CO",Denver,80210
CA,"Yuba City, CA",Marysville,95901
OH,"Cincinnati, OH-KY-IN",Batavia,45103
OR,"Portland-Vancouver-Hillsboro, OR-WA",Portland,97233
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89102
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Woodstock,60098
ME,"Lewiston-Auburn, ME",Lewiston,4240
AR,"Searcy, AR",Searcy,72143
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Carrollton,30117
KY,"Louisville/Jefferson County, KY-IN",Louisville,40245
UT,"Salt Lake City, UT",Salt Lake City,84116
WA,"Portland-Vancouver-Hillsboro, OR-WA",Camas,98607
CA,"San Francisco-Oakland-Berkeley, CA",Fremont,94555
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Riverdale,30274
IL,"Kankakee, IL",Kankakee,60901
AZ,"Flagstaff, AZ",Flagstaff,86004
AZ,"Phoenix-Mesa-Chandler, AZ",Mesa,85208
CA,"San Jose-Sunnyvale-Santa Clara, CA",Mountain View,94040
KY,"Evansville, IN-KY",Henderson,42420
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Carpentersville,60110
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Manassas,20111
AZ,"Phoenix-Mesa-Chandler, AZ",Phoenix,85018
MA,"Boston-Cambridge-Newton, MA-NH",Natick,1760
TN,"Johnson City, TN",Johnson City,37601
TX,"Dallas-Fort Worth-Arlington, TX",Richardson,75081
AZ,"Phoenix-Mesa-Chandler, AZ",Chandler,85248
AL,"Birmingham-Hoover, AL",Vestavia Hills,35216
CA,"San Diego-Chula Vista-Carlsbad, CA",Oceanside,92058
IA,"Des Moines-West Des Moines, IA",Des Moines,50317
NY,"New York-Newark-Jersey City, NY-NJ-PA",Central Islip,11722
IN,"Indianapolis-Carmel-Anderson, IN",Franklin,46131
TX,"Texarkana, TX-AR",Texarkana,75501
CO,"Colorado Springs, CO",Security-Widefield,80911
OH,"Cleveland-Elyria, OH",Willoughby,44094
NV,"Las Vegas-Henderson-Paradise, NV",North Las Vegas,89084
WA,"Portland-Vancouver-Hillsboro, OR-WA",Battle Ground,98604
MA,"Boston-Cambridge-Newton, MA-NH",Andover,1810
WI,"Milwaukee-Waukesha, WI",Oak Creek,53154
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Deerfield Beach,33442
NC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Leland,28451
OH,"Cleveland-Elyria, OH",Shaker Heights,44122
OH,"Dayton-Kettering, OH",Troy,45373
IA,"Des Moines-West Des Moines, IA",Des Moines,50315
CT,"Hartford-East Hartford-Middletown, CT",Manchester,6040
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77008
LA,"New Orleans-Metairie, LA",New Orleans,70118
MD,"Baltimore-Columbia-Towson, MD",Reisterstown,21136
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19121
MS,"Gulfport-Biloxi, MS",Biloxi,39532
OK,"Oklahoma City, OK",Oklahoma City,73120
IL,"Chicago-Naperville-Elgin, IL-IN-WI",New Lenox,60451
NY,"Kingston, NY",Kingston,12401
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Experiment,30223
MI,"Detroit-Warren-Dearborn, MI",Westland,48186
AZ,"Phoenix-Mesa-Chandler, AZ",Mesa,85206
WA,"Seattle-Tacoma-Bellevue, WA",Kent,98030
CA,"Los Angeles-Long Beach-Anaheim, CA",Glendale,91205
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Palatine,60074
CO,"Fort Collins, CO",Fort Collins,80521
UT,"Ogden-Clearfield, UT",Ogden,84403
MI,"Muskegon, MI",Roosevelt Park,49441
AZ,"Phoenix-Mesa-Chandler, AZ",Phoenix,85043
RI,"Providence-Warwick, RI-MA",Cumberland,2864
MI,"Jackson, MI",Jackson,49203
SC,"Charleston-North Charleston, SC",Charleston,29407
KY,"Lexington-Fayette, KY",Winchester,40391
OH,"Columbus, OH",Marysville,43040
CA,"Los Angeles-Long Beach-Anaheim, CA",Altadena,91001
OR,"Portland-Vancouver-Hillsboro, OR-WA",Tigard,97224
OH,"Cleveland-Elyria, OH",Shaker Heights,44120
CA,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,95121
MD,"Baltimore-Columbia-Towson, MD",Glen Burnie,21060
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Wayne,19087
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,30315
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90020
GA,"Savannah, GA",Savannah,31405
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Havertown,19083
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Paterson,7501
CA,"Los Angeles-Long Beach-Anaheim, CA",Orange,92869
NV,"Las Vegas-Henderson-Paradise, NV",Henderson,89012
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77035
AR,"Little Rock-North Little Rock-Conway, AR",Cabot,72023
TX,"Dallas-Fort Worth-Arlington, TX",Fort Worth,76106
NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Woodbury,8096
AZ,"Phoenix-Mesa-Chandler, AZ",Goodyear,85395
CA,"Sacramento-Roseville-Folsom, CA",Arden-Arcade,95825
CA,"San Luis Obispo-Paso Robles, CA",San Luis Obispo,93405
TX,"Killeen-Temple, TX",Killeen,76543
CA,"Santa Rosa-Petaluma, CA",Sonoma,95476
UT,"Salt Lake City, UT",Midvale,84047
TX,"Houston-The Woodlands-Sugar Land, TX",Porter,77365
AL,"Decatur, AL",Decatur,35601
TX,"Austin-Round Rock-Georgetown, TX",Austin,78723
CA,"San Francisco-Oakland-Berkeley, CA",Pacifica,94044
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami,33135
AK,"Anchorage, AK",Anchorage,99507
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11103
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Newark,7106
OR,"Grants Pass, OR",Grants Pass,97527
IN,"Indianapolis-Carmel-Anderson, IN",Indianapolis,46220
CA,"Santa Cruz-Watsonville, CA",Santa Cruz,95062
WA,"Seattle-Tacoma-Bellevue, WA",Tacoma,98404
TX,"Dallas-Fort Worth-Arlington, TX",Argyle,76226
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mount Vernon,22309
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Churchville,18966
TX,"Dallas-Fort Worth-Arlington, TX",Plano,75075
CO,"Boulder, CO",Lafayette,80026
FL,"Orlando-Kissimmee-Sanford, FL",Orlando,32810
NM,"Albuquerque, NM",Albuquerque,87108
WV,"Morgantown, WV",Morgantown,26508
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach Gardens,33410
IN,"Evansville, IN-KY",Newburgh,47630
TX,"Houston-The Woodlands-Sugar Land, TX",La Porte,77571
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Gurnee,60031
ID,"Boise City, ID",Caldwell,83607
FL,"Orlando-Kissimmee-Sanford, FL",Leesburg,34748
FL,"Lakeland-Winter Haven, FL",Poinciana,34759
FL,"Naples-Marco Island, FL",Naples,34116
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77014
MD,"Baltimore-Columbia-Towson, MD",Bel Air,21014
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Sunrise,33351
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,91325
UT,"Provo-Orem, UT",Saratoga Springs,84045
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lindenhurst,60046
MD,"Baltimore-Columbia-Towson, MD",Severn,21144
CA,"El Centro, CA",Calexico,92231
HI,"Urban Honolulu, HI",Pearl City,96782
NV,"Las Vegas-Henderson-Paradise, NV",Henderson,89002
ID,"Pocatello, ID",Pocatello,83201
NJ,"Vineland-Bridgeton, NJ",Millville,8332
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Quakertown,18951
IN,"Indianapolis-Carmel-Anderson, IN",Greenwood,46142
WA,"Seattle-Tacoma-Bellevue, WA",Renton,98056
MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Maple Grove,55369
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19154
ND,"Bismarck, ND",Bismarck,58503
NV,"Reno, NV",Reno,89509
FL,"Orlando-Kissimmee-Sanford, FL",Conway,32812
NC,"Charlotte-Concord-Gastonia, NC-SC",Gastonia,28052
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,37209
OR,"Grants Pass, OR",Grants Pass,97526
CA,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,95128
PA,"Allentown-Bethlehem-Easton, PA-NJ",Bethlehem,18015
LA,"New Orleans-Metairie, LA",New Orleans,70119
NC,"Burlington, NC",Mebane,27302
CA,"Merced, CA",Merced,95340
AR,"Texarkana, TX-AR",Texarkana,71854
TX,"McAllen-Edinburg-Mission, TX",Alamo,78516
CT,"Hartford-East Hartford-Middletown, CT",New Britain,6053
DE,"Dover, DE",Dover,19901
CA,"Oxnard-Thousand Oaks-Ventura, CA",Santa Paula,93060
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89107
MO,"Kansas City, MO-KS",Raytown,64133
WA,"Portland-Vancouver-Hillsboro, OR-WA",Vancouver,98684
GA,"Atlanta-Sandy Springs-Alpharetta, GA",East Point,30344
CT,"New Haven-Milford, CT",Milford,6460
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77004
OK,"Ardmore, OK",Ardmore,73401
OR,"Portland-Vancouver-Hillsboro, OR-WA",Portland,97203
UT,"Salt Lake City, UT",Murray,84107
MO,"Kansas City, MO-KS",Independence,64055
CA,"Sacramento-Roseville-Folsom, CA",Sacramento,95842
CA,"Riverside-San Bernardino-Ontario, CA",Hemet,92543
MA,"Boston-Cambridge-Newton, MA-NH",Brockton,2302
TX,"Dallas-Fort Worth-Arlington, TX",Royse City,75189
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Evanston,60202
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fredericksburg,22405
MA,"Boston-Cambridge-Newton, MA-NH",Boston,2127
AL,"Daphne-Fairhope-Foley, AL",Foley,36535
UT,"Salt Lake City, UT",,84106
CT,"Torrington, CT",Torrington,6790
CA,"Fresno, CA",Fresno,93710
CA,"Los Angeles-Long Beach-Anaheim, CA",Manhattan Beach,90266
MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Stillwater,55082
IL,"St. Louis, MO-IL",O Fallon,62269
NC,"Wilmington, NC",Wilmington,28409
CA,"Los Angeles-Long Beach-Anaheim, CA",Buena Park,90621
IN,"Kokomo, IN",Kokomo,46902
FL,"Cape Coral-Fort Myers, FL",Fort Myers,33905
ID,"Lewiston, ID-WA",Lewiston,83501
VA,"Richmond, VA",Glen Allen,23060
WA,"Bremerton-Silverdale-Port Orchard, WA",Poulsbo,98370
NY,"Syracuse, NY",Baldwinsville,13027
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Lake Worth Beach,33460
IN,"Indianapolis-Carmel-Anderson, IN",Indianapolis,46260
UT,"Ogden-Clearfield, UT",Washington Terrace,84405
WA,"Olympia-Lacey-Tumwater, WA",Lacey,98513
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Calumet City,60409
FL,"Pensacola-Ferry Pass-Brent, FL",Navarre,32566
IL,"Bloomington, IL",Bloomington,61701
CO,"Denver-Aurora-Lakewood, CO",Denver,80231
LA,"Lake Charles, LA",Lake Charles,70601
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90049
WA,"Seattle-Tacoma-Bellevue, WA",Shoreline,98155
IA,"Ames, IA",Ames,50014
FL,"Orlando-Kissimmee-Sanford, FL",Orlando,32817
